stopid,stopname,stopsite,latitude,longitude,syscode,system,muni
102853,Queensway Exchange Bay B,Queensway_Exchange_Bay_B,49.887424,-119.495901,KEL,Kelowna Regional Transit System,Kelowna
102854,Queensway Exchange Bay J,Queensway_Exchange_Bay_J,49.887382,-119.494737,KEL,Kelowna Regional Transit System,Kelowna
102855,Queensway Exchange Bay I,Queensway_Exchange_Bay_I,49.887385,-119.494485,KEL,Kelowna Regional Transit System,Kelowna
102856,Queensway Exchange Bay H,Queensway_Exchange_Bay_H,49.887389,-119.494189,KEL,Kelowna Regional Transit System,Kelowna
102857,Queensway Exchange Bay G,Queensway_Exchange_Bay_G,49.88739,-119.493933,KEL,Kelowna Regional Transit System,Kelowna
102858,Queensway Exchange Bay F,Queensway_Exchange_Bay_F,49.887254,-119.494045,KEL,Kelowna Regional Transit System,Kelowna
102859,Queensway Exchange Bay E,Queensway_Exchange_Bay_E,49.887261,-119.494321,KEL,Kelowna Regional Transit System,Kelowna
102860,Queensway Exchange Bay D,Queensway_Exchange_Bay_D,49.887262,-119.494601,KEL,Kelowna Regional Transit System,Kelowna
102861,Queensway Exchange Bay C,Queensway_Exchange_Bay_C,49.887264,-119.494825,KEL,Kelowna Regional Transit System,Kelowna
102862,Queensway Exchange Bay A,Queensway_Exchange_Bay_A,49.887416,-119.496153,KEL,Kelowna Regional Transit System,Kelowna
102863,Rutland at Sumac (NB),NB_Rutland_FS_Sumac,49.903883,-119.386769,KEL,Kelowna Regional Transit System,Kelowna
102865,Water at Doyle (NB),NB_Water_FS_Doyle,49.889233,-119.496511,KEL,Kelowna Regional Transit System,Kelowna
102866,Doyle at St Paul (EB),EB_Doyle_FS_St Paul,49.888953,-119.491495,KEL,Kelowna Regional Transit System,Kelowna
102867,Doyle at Bertram (WB),WB_Doyle_FS_Bertram,49.889043,-119.490578,KEL,Kelowna Regional Transit System,Kelowna
102868,Water at Leon (SB),SB_Water_NS_Leon,49.884797,-119.496662,KEL,Kelowna Regional Transit System,Kelowna
102869,Water at Harvey (NB),NB_Water_FS_Harvey,49.884199,-119.496348,KEL,Kelowna Regional Transit System,Kelowna
102870,Water at Cawston (NB),NB_Water_FS_Cawston,49.892092,-119.496518,KEL,Kelowna Regional Transit System,Kelowna
102874,Bernard at Bertram (WB),WB_Bernard_NS_Bertram,49.886371,-119.48987,KEL,Kelowna Regional Transit System,Kelowna
102875,Richter at Lawrence (SB),SB_Richter_NS_Lawrence,49.885634,-119.488555,KEL,Kelowna Regional Transit System,Kelowna
102877,Bernard at Richter (EB),EB_Bernard_FS_Richter,49.886276,-119.488179,KEL,Kelowna Regional Transit System,Kelowna
102728,Spall 1440 block (SB),SB_1440_block_Spall,49.887985,-119.454573,KEL,Kelowna Regional Transit System,Kelowna
102962,Burtch at Kelglen (WB),WB_Burtch_FS_Kelglen,49.882977,-119.465071,KEL,Kelowna Regional Transit System,Kelowna
102963,Burtch at Kelglen (EB),EB_Burtch_NS_Kelglen,49.882858,-119.465077,KEL,Kelowna Regional Transit System,Kelowna
102964,Bernard at Noble (WB),WB_Bernard_FS_Noble,49.886345,-119.463664,KEL,Kelowna Regional Transit System,Kelowna
102965,Clifton at Lambert (SB),SB_Clifton_NS_Lambert,49.895898,-119.4659,KEL,Kelowna Regional Transit System,Kelowna
102966,Clifton at Lambert (NB),NB_Clifton_NS_Lambert,49.895442,-119.465646,KEL,Kelowna Regional Transit System,Kelowna
102968,Clifton at Lynwood (SB),SB_Clifton_FS_Lynwood,49.897264,-119.465883,KEL,Kelowna Regional Transit System,Kelowna
102969,Lawrence at Burtch (WB),WB_Lawrence_FS_Burtch,49.884546,-119.462935,KEL,Kelowna Regional Transit System,Kelowna
102970,Burtch at Dickson (SB),SB_Burtch_FS_Dickson,49.878439,-119.465869,KEL,Kelowna Regional Transit System,Kelowna
102971,Lawrence at Burtch (EB),EB_Lawrence_NS_Burtch,49.884404,-119.462871,KEL,Kelowna Regional Transit System,Kelowna
102972,Burtch at Dickson (NB),NB_Burtch_NS_Dickson,49.8782,-119.465738,KEL,Kelowna Regional Transit System,Kelowna
102973,Springfield at Burtch (WB),WB_Springfield_FS_Burtch,49.877066,-119.466316,KEL,Kelowna Regional Transit System,Kelowna
102974,Bernard at Burtch (EB),EB_Bernard_FS_Burtch,49.886541,-119.461733,KEL,Kelowna Regional Transit System,Kelowna
102975,Bernard at Cherry Cres W (SB),SB_Bernard_FS_Cherry Cres W,49.887003,-119.461213,KEL,Kelowna Regional Transit System,Kelowna
102976,Pandosy at Raymer (SB),SB_Pandosy_NS_Raymer,49.86571,-119.49129,KEL,Kelowna Regional Transit System,Kelowna
102977,High at Glengarry (EB),EB_High_NS_Glengarry,49.897732,-119.464131,KEL,Kelowna Regional Transit System,Kelowna
102978,Gordon at Cameron (SB),SB_Gordon_FS_Cameron,49.869889,-119.474711,KEL,Kelowna Regional Transit System,Kelowna
102979,Springfield at Burtch (EB),EB_Springfield_FS_Burtch,49.876726,-119.465007,KEL,Kelowna Regional Transit System,Kelowna
102982,Pandosy at Groves (SB),SB_Pandosy_FS_Groves,49.863394,-119.491291,KEL,Kelowna Regional Transit System,Kelowna
102984,Pandosy at Groves (NB),NB_Pandosy_FS_Groves,49.863944,-119.49115,KEL,Kelowna Regional Transit System,Kelowna
102985,Harvey at Kirschner (EB),EB_Harvey_NS_Kirschner,49.881805,-119.459106,KEL,Kelowna Regional Transit System,Kelowna
102986,Springfield at Dayton (WB),WB_Springfield_FS_Dayton,49.876931,-119.461709,KEL,Kelowna Regional Transit System,Kelowna
102987,High at Tronson (WB),WB_High_NS_Tronson,49.898472,-119.462247,KEL,Kelowna Regional Transit System,Kelowna
102988,High at Tronson (NB),NB_High_FS_Tronson,49.899148,-119.461317,KEL,Kelowna Regional Transit System,Kelowna
102989,Harvey at Kirschner (WB),WB_Harvey_FS_Kirschner,49.882036,-119.458067,KEL,Kelowna Regional Transit System,Kelowna
102990,Springfield at Dayton (EB),EB_Springfield_FS_Dayton,49.876722,-119.460622,KEL,Kelowna Regional Transit System,Kelowna
102991,Bernard at Dilworth (WB),WB_Bernard_NS_Dilworth,49.888402,-119.456209,KEL,Kelowna Regional Transit System,Kelowna
102993,Parkinson at Ufton (WB),WB_Parkinson_FS_Ufton,49.883164,-119.456365,KEL,Kelowna Regional Transit System,Kelowna
102994,Parkinson at Ufton (EB),EB_Parkinson_NS_Ufton,49.883074,-119.455921,KEL,Kelowna Regional Transit System,Kelowna
102995,Pandosy at Klo (NB),NB_Pandosy_FS_Klo,49.862286,-119.49117,KEL,Kelowna Regional Transit System,Kelowna
102996,Springfield at Kirschner (WB),WB_Springfield_FS_Kirschner,49.876935,-119.458763,KEL,Kelowna Regional Transit System,Kelowna
102998,Rutland at Klassen (NB),NB_Rutland_FS_Klassen,49.907213,-119.386693,KEL,Kelowna Regional Transit System,Kelowna
102999,Lakeshore at Cedar (SB),SB_Lakeshore_FS_Cedar,49.861674,-119.491308,KEL,Kelowna Regional Transit System,Kelowna
103000,Glenmore at Dilworth (SB),SB_Glenmore_FS_Dilworth,49.88976,-119.454555,KEL,Kelowna Regional Transit System,Kelowna
103002,Hwy 33 at Enterprise (SB),SB_Hwy 33_FS_Enterprise,49.890696,-119.423522,KEL,Kelowna Regional Transit System,Kelowna
103003,Glenmore at Bernard (NB),NB_Glenmore_FS_Bernard,49.889046,-119.454207,KEL,Kelowna Regional Transit System,Kelowna
103004,Springfield at Kirschner (EB),EB_Springfield_FS_Kirschner,49.876775,-119.457969,KEL,Kelowna Regional Transit System,Kelowna
103005,High at Kennedy (WB),WB_High_FS_Kennedy,49.900409,-119.458485,KEL,Kelowna Regional Transit System,Kelowna
103006,Gordon at Raymer (SB),SB_Gordon_FS_Raymer,49.864559,-119.474374,KEL,Kelowna Regional Transit System,Kelowna
103007,Glenmore at Highland Dr N (SB),SB_Glenmore_FS_Highland Dr N,49.894024,-119.454537,KEL,Kelowna Regional Transit System,Kelowna
103008,Glenmore at Highland Dr N (NB),NB_Glenmore_NS_Highland Dr N,49.894067,-119.454148,KEL,Kelowna Regional Transit System,Kelowna
103009,Enterprise at Spall (EB),EB_Enterprise_FS_Spall,49.884072,-119.453541,KEL,Kelowna Regional Transit System,Kelowna
103010,High at Kennedy (EB),EB_High_FS_Kennedy,49.900415,-119.457538,KEL,Kelowna Regional Transit System,Kelowna
103011,Spall at Windsor (SB),SB_Spall_FS_Windsor,49.880419,-119.454695,KEL,Kelowna Regional Transit System,Kelowna
103012,Spall at Windsor (NB),NB_Spall_FS_Windsor,49.880874,-119.454383,KEL,Kelowna Regional Transit System,Kelowna
103013,Glenmore at Mountain (SB),SB_Glenmore_FS_Mountain,49.895916,-119.454494,KEL,Kelowna Regional Transit System,Kelowna
103014,Springfield at Spall (WB),WB_Springfield_FS_Spall,49.877197,-119.455974,KEL,Kelowna Regional Transit System,Kelowna
103015,Enterprise at Spall (WB),WB_Enterprise_NS_Spall,49.884154,-119.452904,KEL,Kelowna Regional Transit System,Kelowna
103016,Lakeshore 3180 block (NB),NB_3180_block_Lakeshore,49.860395,-119.491148,KEL,Kelowna Regional Transit System,Kelowna
103018,Spall at Kent (SB),SB_Spall_NS_Kent,49.878641,-119.454695,KEL,Kelowna Regional Transit System,Kelowna
103020,KLO at Casorso (EB),EB_KLO_FS_Casorso,49.860927,-119.484917,KEL,Kelowna Regional Transit System,Kelowna
103021,Mission Rec Exchange Bay A,Mission_Rec_Exchange_Bay_A,49.837115,-119.480587,KEL,Kelowna Regional Transit System,Kelowna
103022,Mission Rec Exchange Bay B,Mission_Rec_Exchange_Bay_B,49.836927,-119.480619,KEL,Kelowna Regional Transit System,Kelowna
103023,Mission Rec Exchange Bay C,Mission_Rec_Exchange_Bay_C,49.836598,-119.480619,KEL,Kelowna Regional Transit System,Kelowna
103024,Spall at Kent (NB),NB_Spall_FS_Kent,49.878878,-119.454468,KEL,Kelowna Regional Transit System,Kelowna
103025,Lakeshore 3190 block (SB),SB_3190_block_Lakeshore,49.860257,-119.491284,KEL,Kelowna Regional Transit System,Kelowna
103026,Glenmore at Mountain (NB),NB_Glenmore_FS_Mountain,49.896786,-119.454079,KEL,Kelowna Regional Transit System,Kelowna
103027,Westside at Nancee Way (EB),EB_Westside_FS_Nancee Way,49.883075,-119.53813,KEL,Kelowna Regional Transit System,Tsinstikeptum 10
103028,Okanagan College Exchange Bay A,Okanagan_College_Exchange_Bay_A,49.861268,-119.479319,KEL,Kelowna Regional Transit System,Kelowna
103098,Yates at Valley (EB),EB_Yates_NS_Valley,49.908662,-119.447242,KEL,Kelowna Regional Transit System,Kelowna
103099,Dilworth at Leckie (NB),NB_Dilworth_FS_Leckie,49.887001,-119.43767,KEL,Kelowna Regional Transit System,Kelowna
103101,Dilworth at Enterprise (SB),SB_Dilworth_NS_Enterprise,49.884384,-119.43778,KEL,Kelowna Regional Transit System,Kelowna
103102,Dilworth at Enterprise (NB),NB_Dilworth_FS_Enterprise,49.884511,-119.437643,KEL,Kelowna Regional Transit System,Kelowna
103103,Glenmore at Watson (SB),SB_Glenmore_FS_Watson,49.91122,-119.449423,KEL,Kelowna Regional Transit System,Kelowna
103104,Glenmore at Cross (SB),SB_Glenmore_FS_Cross,49.922396,-119.439937,KEL,Kelowna Regional Transit System,Kelowna
103105,Enterprise at Dilworth (EB),EB_Enterprise_FS_Dilworth,49.883218,-119.436893,KEL,Kelowna Regional Transit System,Kelowna
103107,Glenmore at Watson (NB),NB_Glenmore_FS_Watson,49.911648,-119.448733,KEL,Kelowna Regional Transit System,Kelowna
103108,Dilworth at Baron (SB),SB_Dilworth_FS_Baron,49.8789,-119.437025,KEL,Kelowna Regional Transit System,Kelowna
103110,Westlake at Keloka (NB),NB_Westlake_FS_Keloka,49.887158,-119.555767,KEL,Kelowna Regional Transit System,West Kelowna
103111,Summit at Skeena (WB),WB_Summit_FS_Skeena,49.898604,-119.436433,KEL,Kelowna Regional Transit System,Kelowna
103113,Lakeshore 3730 block (NB),NB_3730_block_Lakeshore,49.848944,-119.486169,KEL,Kelowna Regional Transit System,Kelowna
103114,KLO at Como (EB),EB_KLO_NS_Como,49.860907,-119.450546,KEL,Kelowna Regional Transit System,Kelowna
103115,Westlake at Horizon (EB),EB_Westlake_NS_Horizon,49.885055,-119.557007,KEL,Kelowna Regional Transit System,West Kelowna
103116,KLO at Como (WB),WB_KLO_FS_Como,49.861042,-119.449973,KEL,Kelowna Regional Transit System,Kelowna
103117,Summit at Skeena (EB),EB_Summit_FS_Skeena,49.898853,-119.435607,KEL,Kelowna Regional Transit System,Kelowna
103118,Dilworth at Omineca (SB),SB_Dilworth_FS_Omineca,49.891202,-119.43322,KEL,Kelowna Regional Transit System,Kelowna
103119,Lakeshore 3780 block (SB),SB_3780_block_Lakeshore,49.848546,-119.48632,KEL,Kelowna Regional Transit System,Kelowna
103121,Baron at Underhill (EB),EB_Baron_FS_Underhill,49.879577,-119.434137,KEL,Kelowna Regional Transit System,Kelowna
103122,Enterprise at Leckie (NB),NB_Enterprise_NS_Leckie,49.884043,-119.432751,KEL,Kelowna Regional Transit System,Kelowna
103123,Dilworth at Omineca (NB),NB_Dilworth_FS_Omineca,49.891519,-119.432637,KEL,Kelowna Regional Transit System,Kelowna
103125,Baron at Durnin (WB),WB_Baron_FS_Durnin,49.879642,-119.433272,KEL,Kelowna Regional Transit System,Kelowna
103126,Enterprise at Leckie (SB),SB_Enterprise_NS_Leckie,49.885611,-119.431861,KEL,Kelowna Regional Transit System,Kelowna
103127,Enterprise at Hunter (NB),NB_Enterprise_NS_Hunter,49.885918,-119.431658,KEL,Kelowna Regional Transit System,Kelowna
103128,Summit at Lillooet (EB),EB_Summit_NS_Lillooet,49.899275,-119.433616,KEL,Kelowna Regional Transit System,Kelowna
103129,Summit at Lillooet (WB),WB_Summit_FS_Lillooet,49.899363,-119.433079,KEL,Kelowna Regional Transit System,Kelowna
103130,Springfield at Durnin (WB),WB_Springfield_FS_Durnin,49.877792,-119.432507,KEL,Kelowna Regional Transit System,Kelowna
103131,Glenmore at Ballou (SB),SB_Glenmore_FS_Ballou,49.915641,-119.446328,KEL,Kelowna Regional Transit System,Kelowna
103132,Cross at Glenmore (WB),WB_Cross_FS_Glenmore,49.923426,-119.440083,KEL,Kelowna Regional Transit System,Kelowna
103133,Lakeshore at Cook (NB),NB_Lakeshore_FS_Cook,49.846237,-119.487359,KEL,Kelowna Regional Transit System,Kelowna
103134,Anders at Thacker (EB),EB_Anders_NS_Thacker,49.859924,-119.545444,KEL,Kelowna Regional Transit System,West Kelowna
103135,Anders at Thacker (WB),WB_Anders_FS_Thacker,49.860025,-119.545738,KEL,Kelowna Regional Transit System,West Kelowna
103136,Glenmore at Kane (NB),NB_Glenmore_FS_Kane,49.916157,-119.445628,KEL,Kelowna Regional Transit System,Kelowna
103138,Springfield at Durnin (EB),EB_Springfield_FS_Durnin,49.878139,-119.430893,KEL,Kelowna Regional Transit System,Kelowna
103139,Lakeshore at Cook (SB),SB_Lakeshore_FS_Cook,49.845172,-119.487845,KEL,Kelowna Regional Transit System,Kelowna
103140,Kane at Sutton (EB),EB_Kane_NS_Sutton,49.915346,-119.443846,KEL,Kelowna Regional Transit System,Kelowna
103141,Enterprise at Banks (WB),WB_Enterprise_FS_Banks,49.888676,-119.428632,KEL,Kelowna Regional Transit System,Kelowna
103142,Baron at Leckie (WB),WB_Baron_FS_Leckie,49.882487,-119.428732,KEL,Kelowna Regional Transit System,Kelowna
103143,Summit at Purcell (SB),SB_Summit_NS_Purcell,49.899634,-119.430658,KEL,Kelowna Regional Transit System,Kelowna
103144,Baron at Leckie (EB),EB_Baron_NS_Leckie,49.88246,-119.428567,KEL,Kelowna Regional Transit System,Kelowna
103145,Dilworth at Cascade (WB),WB_Dilworth_NS_Cascade,49.89286,-119.428152,KEL,Kelowna Regional Transit System,Kelowna
103146,KLO at Spiers (WB),WB_KLO_NS_Spiers,49.860561,-119.442266,KEL,Kelowna Regional Transit System,Kelowna
103147,Dilworth at Cascade (EB),EB_Dilworth_FS_Cascade,49.892765,-119.428116,KEL,Kelowna Regional Transit System,Kelowna
103148,Summit at Nahanni (EB),EB_Summit_NS_Nahanni,49.899936,-119.430136,KEL,Kelowna Regional Transit System,Kelowna
103149,KLO at Spiers (EB),EB_KLO_FS_Spiers,49.8605,-119.442368,KEL,Kelowna Regional Transit System,Kelowna
103151,Lakeshore at Truswell (NB),NB_Lakeshore_FS_Truswell,49.843898,-119.487692,KEL,Kelowna Regional Transit System,Kelowna
103152,Lakeshore at Truswell (SB),SB_Lakeshore_NS_Truswell,49.843814,-119.487946,KEL,Kelowna Regional Transit System,Kelowna
103153,Black Mountain at Large (NB),NB_Black Mountain_NS_Large,49.872009,-119.348482,KEL,Kelowna Regional Transit System,Kelowna
